CORPORATE_IDENTIFICATION_NUMBER,DATE_OF_REGISTRATION,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
L01131KA1955PLC000812,25-06-1955,OSSOOR ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","15,600,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"48,CAMBRIDGE ROAD CROSS,ULSOOR, BANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
L01131KA1955PLC000813,25-06-1955,WARTYHULLY ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","18,000,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"OSSOOR ESTATE,SAKLASPUR,HASSAN DIST.KARNATAKA HASSAN DIST Karnataka INDIA",Indian Non-Government Company
L01131KA1970PLC001935,19-08-1970,SANGAMESHWAR COFFEE ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"15,000,000.00","12,621,840.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"KARADYKHAN ESTATE,SANGAMESHWARPET-577 136. CHIKARMAGALUR. CHIKARMAGALUR Karnataka INDIA",Indian Non-Government Company
L01131KA1980PLC003804,19-04-1980,WYNAD ESTATE AND INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"2,500,000.00","2,450,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"VYALIKAVAL POLICE STATION,VYALIKAVAL MAIN ROAD, BANGALORE. 560003 BANGALORE Karnataka INDIA 560003",Indian Non-Government Company
L01132KA1936PLC002642,21-12-1936,DEVON PLANTATIONS AND INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"5,000,000.00","2,975,920.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"EMPIRE INFANTRY,3RD FLOOR 29 INFANTRY ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L01132KA1943PLC001574,31-03-1943,COORG TEA COMPANY LIMITED.,ACTIVE,Public,Company Limited by Shares,"5,500,000.00","1,344,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"4/16, PALACE ROAD,POST BOX NO.135, BANGALORE. BANGALORE. Karnataka INDIA",Indian Non-Government Company
L01133KA1995PLC016969,13-01-1995,JAIN FARMS PALM OILS LIMITED,ACTIVE,Public,Company Limited by Shares,"55,000,000.00","30,000,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"59/1, NAKODA ARCADE IIIFLOOR, DVG ROAD, BANGALORE-4 BANGALORE Karnataka INDIA 560004",Indian Non-Government Company
L01542KA1995PLC019046,25-10-1995,SHREE RENUKA SUGARS LIMITED,ACTIVE,Public,Company Limited by Shares,"1,850,000,000.00","928,811,242.00",Karnataka,RoC-Bangalore,NA,"BC 105, POVLOCK ROAD,OFF HAVELOCK ROAD,CANTONMENT, BELGAUM-590 001. BELGAUM-590 001. Karnataka INDIA 590001",Indian Non-Government Company
L01549KA1984PLC006339,05-09-1984,VINTAGE FOODS AND INDUSTRIES LIMITED.,ACTIVE,Public,Company Limited by Shares,"66,600,000.00","6,660,000.00",Karnataka,RoC-Bangalore,NA,"PLOT NO.21B KIADB INDL AREAMYSORE ROAD BANGALORE-74 MYSORE ROAD,BANGALORE-74 Karnataka INDIA",Indian Non-Government Company
L01551KA1999PLC024991,31-03-1999,UNITED SPIRITS LIMITED,ACTIVE,Public,Company Limited by Shares,"5,542,000,000.00","1,453,277,430.00",Karnataka,RoC-Bangalore,NA,"UB TOWER' # 24, VITTAL MALLYA ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L02101KA1955PLC001936,25-03-1955,THE WEST COAST PAPER MILLS LIMITED,ACTIVE,Public,Company Limited by Shares,"950,000,000.00","132,097,816.00",Karnataka,RoC-Bangalore,NA,"P B NO.5 BANGUR NAGAR, DANDELI, UTTAR KANNADA DANDELI Karnataka INDIA 581325",Indian Non-Government Company
L02411KA1988PLC009465,22-09-1988,VIVIMED LABS LIMITED,ACTIVE,Public,Company Limited by Shares,"1,110,000,000.00","162,037,830.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"PLOT NO. 78-A,KOLHAR INDUSTRIAL AREA, BIDAR KARNATAKA. Karnataka INDIA 585403",Indian Non-Government Company
L02710KA1984PLC006093,17-05-1984,BELLARY STEELS AND ALLOYS LIMITED,UNDER LIQUIDATION,Public,Company Limited by Shares,"500,000,000.00","2,315,721.00",Karnataka,RoC-Bangalore,NA,"S.10/11,ANNATHAPUR ROAD BELLARY Karnataka INDIA 583101",Indian Non-Government Company
L05190KA1921PLC036321,1-12-1921,INGERSOLL-RAND (INDIA) LIMITED,ACTIVE,Public,Company Limited by Shares,"320,000,000.00","315,680,000.00",Karnataka,RoC-Bangalore,NA,"PLOT NO. 35, KIADB INDUSTRIAL AREA, BIDADI Karnataka INDIA 562109",Indian Non-Government Company
L05190KA1984PLC031621,22-12-1984,CRANES SOFTWARE INTERNATIONAL LIMITED,ACTIVE,Public,Company Limited by Shares,"350,000,000.00","235,533,700.00",Karnataka,RoC-Bangalore,NA,"#2, TAVAREKERE, BANNERGHATTA ROAD, 1ST PHASE, 1ST STAGE, BTM LAYOUT BANGALORE Karnataka INDIA 560029",Indian Non-Government Company
L05190KA2004PLC033485,01-03-2004,MCDOWELL HOLDINGS LIMITED,ACTIVE,Public,Company Limited by Shares,"150,000,000.00","139,922,580.00",Karnataka,RoC-Bangalore,NA,"UB Tower, Level 12, UB City 24 Vittal Mallya Road Bangalore Karnataka INDIA 560001",Indian Non-Government Company
L07010KA1997PLC022322,04-06-1997,PRESTIGE ESTATES PROJECTS LIMITED,ACTIVE,Public,Company Limited by Shares,"4,000,000,000.00","3,750,000,000.00",Karnataka,RoC-Bangalore,NA,"THE FALCON HOUSE, NO.1 MAIN GUARD CROSS ROAD, BANGALORE BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L07010KA2003PLC032934,28-11-2003,SAMRUDDHI REALTY LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","100,944,000.00",Karnataka,RoC-Bangalore,NA,"THE LAND MARK, NO.21/15, 4TH FLOOR,, M.G ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L07010KA2004PLC033412,20-02-2004,NITESH ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"1,500,000,000.00","1,458,321,000.00",Karnataka,RoC-Bangalore,NA,"NITESH TIMESQUARE, 7TH FLOOR, NO.8, M.G. ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L13100KA1976GOI002974,02-04-1976,KIOCL LIMITED,ACTIVE,Public,Company Limited by Shares,"6,750,000,000.00","6,345,138,000.00",Karnataka,RoC-Bangalore,Mining & Quarrying,II BLOCK KORAMANGALABANGALORE. BANGALORE Karnataka INDIA 560034,Union Government Company
L13200KA1990PLC011396,20-11-1990,MIDWEST GOLD LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","32,700,000.00",Karnataka,RoC-Bangalore,Mining & Quarrying,"25A,-A,ATTIBELEATTIBELE INDUSTRIAL AREA BANGALORE BANGALORE Karnataka INDIA 562107",Others
L14101KA1989PLC062041,13-07-1989,PACIFIC INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"250,000,000.00","13,515,000.00",Karnataka,RoC-Bangalore,Mining & Quarrying,"SURVEY No.13, N.H.48, KEMPALINGANHALLI, NELAMANGALA TALUKA BANGALORE Karnataka INDIA 562123",Indian Non-Government Company
L14102KA1990PLC023497,29-10-1990,GLITTEK GRANITES LIMITED,ACTIVE,Public,Company Limited by Shares,"140,000,000.00","129,797,000.00",Karnataka,RoC-Bangalore,Mining & Quarrying,"42, K I A D B INDL AREAHOSKOTE BANGALORE BANGALORE Karnataka INDIA 562114",Indian Non-Government Company
L14106KA1992PLC012988,27-03-1992,SURAJ STONE CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","37,086,600.00",Karnataka,RoC-Bangalore,Mining & Quarrying,"SURVEY NO. 101, NAGDENHAALI, DODBALLAPURA TALUK BANGALORE RURAL Karnataka INDIA 561203",Indian Non-Government Company
L15136KA1992PLC013673,4-11-1992,POWERSOFT GLOBAL SOLUTIONS LIMITED,ACTIVE,Public,Company Limited by Shares,"250,000,000.00","225,837,990.00",Karnataka,RoC-Bangalore,Manufacturing (Food stuffs),"58, 1st Floor, HMT Layout, R T Nagar Bangalore Karnataka INDIA 560032",Indian Non-Government Company
L15143KA1973PLC002426,9-10-1973,AGRO EXTRACTS LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","3,405,000.00",Karnataka,RoC-Bangalore,Manufacturing (Food stuffs),"PLOT NO.16,PHASE II,PEENYAINDUSTRIAL AREA BANGALORE INDUSTRIAL AREA, BANGALORE Karnataka INDIA 560058",Indian Non-Government Company
L15426KA1933PLC001419,13-04-1933,THE INDIA SUGARS AND REFINERIES LIMITED,ACTIVE,Public,Company Limited by Shares,"35,000,000.00","29,950,960.00",Karnataka,RoC-Bangalore,Manufacturing (Food stuffs),"CHITWADGI, HOSPET, BELLARY Karnataka INDIA 583211",Indian Non-Government Company
L15428KA1933SGC000142,30-01-1933,MYSORE SUGAR COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"130,000,000.00","87,342,980.00",Karnataka,RoC-Bangalore,Manufacturing (Food stuffs),"MYSURE OPEN AIR THEATRESUGAR TOWN, MANDYA-571 402 SUGAR TOWN, MANDYA-571 402 Karnataka INDIA",State Government Company
L15435KA1970PLC001974,14-12-1970,SRI CHAMUNDESWARI SUGARS LIMITED,ACTIVE,Public,Company Limited by Shares,"600,000,000.00","391,543,280.00",Karnataka,RoC-Bangalore,Manufacturing (Food stuffs),"88/5, RICHMOND ROAD, BANGALORE Karnataka INDIA 560025",Indian Non-Government Company
L17100KA1951PLC001147,29-06-1951,KUMERGODE ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000.00","900,000.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),No.23/2 Coffeeday Square Vittal Mallya Road Bangalore Karnataka INDIA 560001,Indian Non-Government Company
L17100KA1979PLC003492,17-03-1979,R K B AGRO INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"90,000,000.00","75,000,000.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"1ST FLOOR, KUSHAL CHAMBERS,M G ROAD, RAICHUR M.G.ROAD, RAICHUR Karnataka INDIA 584101",Indian Non-Government Company
L17111KA1936PLC000182,26-08-1936,MYSORE LAMP WORKS LIMITED,UNDER LIQUIDATION,Public,Company Limited by Shares,"150,000,000.00","118,102,330.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"P.B.NO.5551, OLD TUMKUR ROAD,MALLESWARAM (W) BANGALORE-55 MALLESWARAM (W), BANGALORE Karnataka INDIA 560055",Indian Non-Government Company
L17112KA1977PLC003182,12-07-1977,KAREEMS SILK INTERNATIONAL LIMITED,ACTIVE,Public,Company Limited by Shares,"60,000,000.00","20,000,000.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"6B & 7,IND.AREA,NANJANGUD,MYSORE MYSORE Karnataka INDIA 571301",Indian Non-Government Company
L17112KA1985PLC006647,23-01-1985,HIMATSINGKA SEIDE LIMITED.,ACTIVE,Public,Company Limited by Shares,"670,000,000.00","492,285,800.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"10/24, Kumarakrupa Road High Grounds Bangalore Karnataka INDIA 560001",Indian Non-Government Company
L17114KA2001PLC028611,13-02-2001,OTCO INTERNATIONAL LIMITED,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","25,936,240.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"NO 139, 1ST FLOOR, GURUMURTHY BHAVAN, INFANTRY ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L17116KA2006PLC038839,27-03-2006,GOKAK TEXTILES LIMITED,ACTIVE,Public,Company Limited by Shares,"70,000,000.00","64,993,080.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"NO.24, 29TH MAIN BTM LAYOUT II STAGE BANGALORE Karnataka INDIA 560076",Indian Non-Government Company
L17121KA1999PLC025320,10-06-1999,INDUS FILA LIMITED,ACTIVE,Public,Company Limited by Shares,"400,000,000.00","207,447,170.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"285, 37TH KM STONE,TUMKUR ROAD, T. BEGUR, NELAMANGALA, BANGALORE Karnataka INDIA 562123",Indian Non-Government Company
L18101KA1994PLC016554,15-11-1994,PAGE INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"120,000,000.00","111,538,740.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"Cessna Business Park, Umiya Business Bay-Tower-1, 7th Floor, Kadubeesanahalli, Varthur Hobli, Bengaluru Karnataka INDIA 560103",Indian Non-Government Company
L18101KA2004PLC033475,01-03-2004,GOKALDAS EXPORTS LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","172,971,660.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"70, MISSION ROADBANGALORE. BANGALORE. Karnataka INDIA 560027",Indian Non-Government Company
L18109KA1984PLC005810,12-01-1984,FOURENN APPARELS LIMITED,ACTIVE,Public,Company Limited by Shares,"25,000,000.00","25,000,000.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),110 J&K 8TH CROSS BOMMASANDRA INDUSTRIAL AREA BANGALORE Karnataka INDIA 560068,Indian Non-Government Company
L18109KA1989PLC049955,25-10-1989,MILLENNIUM BEER INDUSTRIES LIMITED,AMALGAMATED,Public,Company Limited by Shares,"1,960,000,000.00","1,904,799,938.00",Karnataka,RoC-Bangalore,Manufacturing (Textiles),"UB TOWER', UB CITY, 24, VITTAL MALLYA ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L21014KA1980PLC003842,09-06-1980,SHETRON LIMITED,ACTIVE,Public,Company Limited by Shares,"250,000,000.00","89,998,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","PLOT NO 1, BOMMASANDARINDUSTRIAL AREA, HOSUR ROAD, BANGALORE. BANGALORE Karnataka INDIA 560097",Indian Non-Government Company
L22100KA1916PLC000047,05-08-1916,THE BANGALORE PRINTING AND PUBLISHING COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000.00","568,590.00",Karnataka,RoC-Bangalore,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO 88, MYSORE ROAD,BANGALORE KARNATAKA KARNATAKA Karnataka INDIA 560018",Indian Non-Government Company
L22130KA1996PLC020728,01-07-1996,CYBERSCAPE MULTIMEDIA LIMITED,ACTIVE,Public,Company Limited by Shares,"110,000,000.00","101,025,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","1456, 23RD MAIN, 30TH CROSS BANASHANKARI 2ND STAGE BANGALORE Karnataka INDIA 560070",Indian Non-Government Company
L22212KA1916PLC000059,05-08-1916,BANGALORE PRINTING AND PUBLISHING COMPANY LIMITED,STRIKE OFF,Public,Company Limited by Shares,"300,000.00",NA,Karnataka,RoC-Bangalore,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","LAKEVIEW, MYSORE ROAD,BANGALORE CITY BANGALORE CITY Karnataka INDIA",Indian Non-Government Company
L23100KA1986PLC008037,15-12-1986,MICRO ENERGY (INDIA) LIMITED,ACTIVE,Public,Company Limited by Shares,"75,000,000.00","71,539,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","#11, KSV Complex, 1st Floor, Millers Road, Vasanthnagar, Bangalore Karnataka INDIA 560052",Indian Non-Government Company
L23209KA1977PLC043357,19-09-1977,GUJARAT PETROSYNTHESE LIMITED,ACTIVE,Public,Company Limited by Shares,"80,000,000.00","59,691,660.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","24,II Main, Doddanekkundi Industrial Area, Phase 1, Mahadevapura, Bangalore Karnataka INDIA 560048",Indian Non-Government Company
L24111KA1987PLC041560,14-09-1981,PUSHYA INDUSTRIAL GASES LIMITED,UNDER LIQUIDATION,Public,Company Limited by Shares,"20,000,000.00","18,000,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","#8, ARTILLERY ROAD HALASURU BANGALORE Karnataka INDIA 560008",Indian Non-Government Company
L24123KA1966PLC002036,18-07-1966,MANGALORE CHEMICALS AND FERTILISERS LIMITED,ACTIVE,Public,Company Limited by Shares,"1,300,000,000.00","1,185,486,575.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","LEVEL 11, UB TOWER, UB CITY 24, VITTAL MALLYA ROAD BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L24221KA1969PLC001799,09-06-1969,MYSORE PETRO CHEMICALS LIMITED,ACTIVE,Public,Company Limited by Shares,"150,000,000.00","65,834,880.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","D. 4, JYOTHI COMPLEX,134/1, INFANTRY ROAD, BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L24222KA1946PLC000437,7-11-1946,MYSORE PAINTS AND WATER PROOFS LIMITED,DORMANT,Public,Company Limited by Shares,"5,000,000.00",70,Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","NO.6,HAUDIN ROAD,ULSOORBANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
L24230KA1923PLC010205,01-02-1923,ANGLO-FRENCH DRUGS & INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","11,625,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","41, 3RD CROSS, V BLOCK, RAJAJINAGAR, BANGALORE BANGALORE Karnataka INDIA 560010",Indian Non-Government Company
L24231KA1979PLC003563,11-07-1979,ASTRAZENECA PHARMA INDIA LIMITED,ACTIVE,Public,Company Limited by Shares,"50,000,000.00","50,000,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","BLOCK N1, 12TH FLOOR,MANYATA EMBASSY BUSINESS PARK RACHENAHALLI, OUTER RING ROAD BANGALORE Karnataka INDIA 560045",Indian Non-Government Company
L24231KA1983PLC015089,24-10-1983,VENLON ENTERPRISES LIMITED,ACTIVE,Public,Company Limited by Shares,"265,000,000.00","261,212,470.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","26-P,BELAVADI INDL.AREAHUNSUR ROAD MYSORE MYSORE Karnataka INDIA 570018",Indian Non-Government Company
L24234KA1978PLC003417,29-11-1978,BIOCON LIMITED,ACTIVE,Public,Company Limited by Shares,"1,100,000,000.00","1,000,000,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","20TH K.M.HOSUR ROAD,HEBBAGODI BANGALORE Karnataka INDIA 561229",Indian Non-Government Company
L24299KA1981PLC004321,24-07-1981,SHRISHMA FINE CHEMICALS AND PHARMACEUTICALS (KARNATAKA) LIMITED,UNDER LIQUIDATION,Public,Company Limited by Shares,"350,000,000.00",300,Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","44/3, FAIR FIELD LAYOUT RACECOURSE RD , BANGALORE COURSE RD , BANGALORE Karnataka INDIA 560001",Indian Non-Government Company
L25114KA1973PLC002455,29-11-1973,FALCON TYRES LIMITED,ACTIVE,Public,Company Limited by Shares,"1,000,000,000.00","387,362,900.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","K R S ROAD , METAGALLI, MYSORE Karnataka INDIA 570016",Indian Non-Government Company
L25119KA1975PLC002867,10-09-1975,TRITON VALVES LIMITED,ACTIVE,Public,Company Limited by Shares,"50,000,000.00","9,900,270.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","SUNRISE,CHAMBERS, 22 ULSOORROAD, BANGALORE ROAD, BANGALORE Karnataka INDIA 560042",Indian Non-Government Company
L25190KA1964PLC052092,18-08-1964,M M RUBBER COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"70,000,000.00","9,961,130.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","Empire Infantry, 3rd Floor No.29, Infantry Road, Bangalore Karnataka INDIA 560001",Indian Non-Government Company
L26900KA1979PLC061580,2-11-1979,MARATHWADA REFRACTORIES LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","7,000,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","# 41, Vittal Mallya Road Bangalore Karnataka INDIA 560001",Indian Non-Government Company
L26913KA1937PLC000197,25-03-1937,MYSORE STONEWARE PIPES AND POTTERIES LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","1,056,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","GF-2, SAPTHAGIRI, NO 30, 10TH CROSS R M V EXTENSION, SADASHIVANAGAR, BANGALORE Karnataka INDIA 560080",Indian Non-Government Company
L26914KA1983PLC005401,29-06-1983,MURUDESHWAR CERAMICS LIMITED,ACTIVE,Public,Company Limited by Shares,"716,200,000.00","408,139,220.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","604/B, GOKUL ROAD, INDUSTRIALESTATE, HUBLI Karnataka INDIA 580030",Indian Non-Government Company
L26921KA1990PLC011099,31-07-1990,YENEPOYA MINERALS AND GRANITES LIMITED,ACTIVE,Public,Company Limited by Shares,"125,000,000.00","122,800,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)",MUDA VILLAGEBANTWAL BANTWAL Karnataka INDIA 574219,Indian Non-Government Company
L26941KA1993PLC014104,17-03-1993,SHRI KESHAV CEMENTS AND INFRA LIMITED,ACTIVE,Public,Company Limited by Shares,"60,000,000.00","51,242,000.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","JYOTI TOWERS 215/2 6TH CROSSNAZAR CAMP KARBHAR GALLI MADHAVPUR VADGAON, BELGAUM Karnataka INDIA 590005",Indian Non-Government Company
L27104KA1972PLC002163,28-02-1972,WELCAST STEELS LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","6,381,610.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.15, PHASE I, PEENYAINDUSTRIAL AREA, BANGALORE BANGALORE Karnataka INDIA 560058",Indian Non-Government Company
L27109KA1964PLC001546,21-09-1964,KENNAMETAL INDIA LIMITED,ACTIVE,Public,Company Limited by Shares,"219,782,400.00","219,782,400.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","8/9, MILE, TUMKUR ROAD BANGALORE BANGALORE Karnataka INDIA 560073",Indian Non-Government Company
L27203KA1979PLC003442,09-01-1979,BHORUKA ALUMINIUM LIMITED,ACTIVE,Public,Company Limited by Shares,"550,000,000.00","549,421,420.00",Karnataka,RoC-Bangalore,"Manufacturing (Metals & Chemicals, and products thereof)","# No.427E, 2nd Floor Hebbal Industrial Area Mysore Karnataka INDIA 570016",Indian Non-Government Company
